Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
3/27/2005,5:00:00,0.8,977,-200,2.3,605,102,852,68,1212,841,15.8,65.4,1.1629
3/27/2005,6:00:00,0.7,986,-200,2.3,602,96,878,61,1211,851,15.8,65.9,1.1792
3/27/2005,7:00:00,1.1,1082,-200,4.2,720,144,697,76,1297,960,15.6,67.7,1.1911
3/27/2005,8:00:00,1.1,1068,-200,3.6,688,152,725,78,1289,926,15.2,71.5,1.2228
3/27/2005,9:00:00,1.1,1136,-200,4.4,733,156,692,79,1344,901,14.5,80.8,1.3224
3/27/2005,10:00:00,1.4,1184,-200,4.6,743,208,672,90,1369,915,15.2,81.4,1.3930
3/27/2005,11:00:00,1.3,1179,-200,4.5,738,174,680,89,1335,956,15.9,77.3,1.3838
3/27/2005,12:00:00,1.5,1182,-200,5.0,761,206,677,97,1338,1019,17.5,67.1,1.3342
3/27/2005,13:00:00,1.3,1082,-200,3.8,700,160,759,91,1286,842,18.1,62.8,1.2916
3/27/2005,14:00:00,0.8,996,-200,2.5,620,91,820,62,1238,612,18.6,62.1,1.3224
3/27/2005,15:00:00,0.9,1024,-200,2.7,630,106,862,66,1240,544,16.2,71.9,1.3171
3/27/2005,16:00:00,1.4,1093,-200,3.5,682,199,797,104,1256,638,15.4,75.2,1.3024
3/27/2005,17:00:00,1.8,1170,-200,4.9,756,299,713,126,1341,793,14.4,80.8,1.3182
3/27/2005,18:00:00,1.6,1153,-200,4.4,734,272,712,122,1324,811,13.8,83.5,1.3154
3/27/2005,19:00:00,1.8,1220,-200,5.7,796,285,652,121,1367,896,13.9,83.6,1.3208
3/27/2005,20:00:00,2.1,1218,-200,6.3,825,307,627,126,1393,978,14.2,82.3,1.3219
3/27/2005,21:00:00,1.9,1172,-200,6.0,810,237,637,115,1376,964,14.1,81.4,1.3046
3/27/2005,22:00:00,1.7,1182,-200,6.0,812,244,650,116,1368,993,14.4,79.0,1.2917
3/27/2005,23:00:00,1.9,1160,-200,5.6,794,284,658,120,1356,966,14.6,77.7,1.2834
3/28/2005,0:00:00,1.6,1106,-200,4.3,728,221,722,111,1309,885,14.4,78.6,1.2839
3/28/2005,1:00:00,1.2,1031,-200,3.0,652,173,803,101,1256,775,14.4,78.0,1.2741
3/28/2005,2:00:00,1.0,1015,-200,2.8,640,144,821,92,1247,738,14.1,79.1,1.2665
3/28/2005,3:00:00,1.0,1003,-200,2.7,635,117,829,78,1235,711,13.7,80.6,1.2528
3/28/2005,4:00:00,0.8,951,-200,2.0,583,89,905,63,1212,624,13.9,79.6,1.2616
3/28/2005,5:00:00,0.6,938,-200,1.9,575,97,955,63,1195,585,13.8,79.0,1.2425
3/28/2005,6:00:00,0.6,933,-200,1.9,574,95,937,63,1201,646,13.9,78.0,1.2346
3/28/2005,7:00:00,1.0,1010,-200,3.1,656,166,815,84,1260,809,14.1,77.8,1.2445
3/28/2005,8:00:00,1.0,1025,-200,3.4,675,160,798,89,1257,828,15.0,73.2,1.2413
3/28/2005,9:00:00,1.3,1086,-200,4.9,756,176,700,101,1308,894,16.4,67.3,1.2451
3/28/2005,10:00:00,1.5,1111,-200,5.2,773,216,690,115,1331,915,17.8,61.7,1.2436
3/28/2005,11:00:00,1.6,1129,-200,5.5,788,220,692,111,1305,920,20.8,50.4,1.2213
3/28/2005,12:00:00,1.4,1097,-200,4.2,721,183,746,96,1266,807,21.6,46.8,1.1959
3/28/2005,13:00:00,1.4,1029,-200,3.3,670,154,800,87,1223,678,23.1,41.3,1.1506
3/28/2005,14:00:00,1.2,1071,-200,4.8,752,132,736,81,1289,668,23.6,39.4,1.1320
3/28/2005,15:00:00,1.3,1053,-200,4.2,721,140,764,85,1216,617,25.1,34.0,1.0680
3/28/2005,16:00:00,1.4,1055,-200,3.7,693,186,789,98,1203,598,24.7,35.6,1.0882
3/28/2005,17:00:00,1.6,1176,-200,6.2,822,213,704,109,1294,778,24.2,38.1,1.1357
3/28/2005,18:00:00,2.8,1293,-200,9.7,965,376,589,150,1399,1062,22.7,42.4,1.1540
3/28/2005,19:00:00,3.7,1307,-200,12.4,1063,508,554,175,1432,1224,19.6,47.8,1.0781
3/28/2005,20:00:00,2.9,1163,-200,9.4,954,388,600,157,1369,1118,17.6,54.4,1.0839
3/28/2005,21:00:00,1.8,1103,-200,7.1,861,250,660,130,1310,964,16.2,60.6,1.1089
3/28/2005,22:00:00,1.6,1120,-200,6.1,817,232,669,120,1310,1050,15.2,65.8,1.1288
3/28/2005,23:00:00,1.7,1107,-200,6.0,810,229,677,114,1311,1016,14.5,68.9,1.1298
3/29/2005,0:00:00,1.5,1078,-200,5.0,766,184,692,100,1269,998,14.3,68.5,1.1122
